task_id,operator_type,category,period,error_flag
245,new,living,before,1
246,experienced,fashion,after,0
247,experienced,fashion,after,0
248,experienced,living,after,0
249,experienced,fashion,before,0
250,experienced,living,after,0
251,new,fashion,after,0
252,new,electronics,before,0
253,experienced,electronics,before,0
254,new,fashion,after,0
255,new,living,after,0
256,experienced,electronics,before,0
257,experienced,living,after,0
258,experienced,fashion,before,0
259,experienced,living,before,0
260,new,electronics,after,0
261,experienced,living,after,0
262,experienced,living,after,0
263,new,fashion,after,1
264,experienced,fashion,before,0
265,experienced,fashion,before,0
266,experienced,electronics,before,0
267,experienced,electronics,after,0
268,experienced,fashion,after,0
269,new,fashion,before,0
270,new,electronics,before,0
271,experienced,electronics,before,0
272,experienced,electronics,after,0
273,experienced,electronics,before,0
274,experienced,fashion,before,0
275,experienced,electronics,after,0
276,experienced,fashion,after,0
277,experienced,living,after,0
278,experienced,living,after,0
279,experienced,electronics,before,0
280,experienced,living,after,0
281,experienced,living,after,0
282,new,living,after,1
283,new,electronics,before,0
284,new,electronics,before,0
285,experienced,living,before,0
286,new,fashion,before,0
287,experienced,living,after,0
288,experienced,electronics,before,0
289,new,electronics,before,0
290,experienced,electronics,before,0
291,new,living,before,0
292,new,fashion,before,1
293,experienced,electronics,before,0
294,new,electronics,before,0
295,new,living,after,1
296,experienced,fashion,after,0
297,experienced,living,before,0
298,new,electronics,after,0
299,experienced,fashion,after,0
300,new,fashion,after,0
301,new,electronics,before,0
302,experienced,fashion,before,0
303,experienced,fashion,before,0
304,experienced,living,before,0
305,experienced,electronics,before,1
306,experienced,electronics,after,0
307,experienced,electronics,before,0
308,new,electronics,before,0
309,experienced,electronics,after,0
310,new,fashion,before,0
311,experienced,living,after,0
312,new,electronics,after,0
313,new,living,after,0
314,experienced,living,after,0
315,experienced,fashion,before,1
316,experienced,electronics,after,0
317,experienced,fashion,after,0
318,new,electronics,after,0
319,new,fashion,before,1
320,new,living,after,0
321,experienced,electronics,before,0
322,experienced,living,after,1
323,experienced,living,before,1
324,new,fashion,after,0
325,experienced,electronics,after,0
326,experienced,living,before,0
327,experienced,fashion,before,0
328,experienced,electronics,before,0
329,experienced,electronics,after,0
330,new,living,after,0
331,new,electronics,after,0
332,experienced,living,after,0
333,new,electronics,after,0
334,new,fashion,before,0
335,new,living,before,0
336,new,living,after,0
337,experienced,electronics,before,0
338,experienced,electronics,before,0
339,experienced,living,before,0
340,new,electronics,before,0
341,experienced,fashion,after,0
342,experienced,electronics,before,0
343,new,fashion,after,0
344,experienced,fashion,before,0
345,new,fashion,before,0
346,experienced,fashion,before,0
347,experienced,fashion,after,0
348,new,electronics,after,0
349,new,fashion,after,0
350,experienced,electronics,after,0
351,experienced,fashion,after,0
352,experienced,living,after,0
353,experienced,fashion,after,0
354,new,living,after,0
355,new,fashion,before,0
356,experienced,fashion,after,0
357,new,fashion,after,0
358,experienced,living,after,0
359,experienced,living,before,1
360,experienced,fashion,after,0
361,new,electronics,after,0
362,experienced,fashion,before,0
363,experienced,living,after,0
364,experienced,fashion,before,0
365,experienced,living,before,0
366,new,living,before,0
367,experienced,living,before,0
368,experienced,fashion,after,1
369,new,living,before,1
370,new,living,before,0
371,new,fashion,before,0
372,new,living,before,0
373,new,fashion,before,0
374,experienced,living,after,0
375,new,electronics,before,1
376,new,electronics,after,1
377,experienced,living,after,0
378,new,electronics,before,0
379,experienced,fashion,after,0
380,new,electronics,before,0
381,new,living,before,0
382,experienced,living,before,0
383,experienced,fashion,before,0
384,experienced,living,after,0
385,experienced,fashion,after,0
386,experienced,electronics,before,0
387,new,electronics,after,0
388,new,fashion,before,0
389,experienced,fashion,after,0
390,experienced,living,before,0
391,experienced,electronics,before,0
392,experienced,fashion,before,0
393,new,electronics,before,0
394,experienced,fashion,after,0
395,new,electronics,after,0
396,experienced,living,before,0
397,experienced,electronics,after,0
398,experienced,electronics,after,1
399,experienced,electronics,after,0
400,experienced,electronics,before,1
401,new,electronics,before,0
402,experienced,living,after,0
403,experienced,fashion,after,0
404,experienced,electronics,before,0
405,new,living,before,0
406,experienced,electronics,before,0
407,new,electronics,after,0
408,new,fashion,after,0
409,experienced,electronics,before,0
410,new,living,after,0
411,new,living,after,0
412,experienced,fashion,after,0
413,experienced,electronics,after,0
414,experienced,living,after,0
415,experienced,electronics,before,0
416,experienced,electronics,after,0
417,new,electronics,before,0
418,new,fashion,before,0
419,experienced,electronics,before,0
420,experienced,living,before,1
421,experienced,electronics,before,0
422,experienced,living,before,0
423,new,electronics,after,1
424,experienced,living,before,0
425,new,living,after,0
426,experienced,electronics,before,0
427,experienced,electronics,after,0
428,experienced,living,after,0
429,new,fashion,before,0
430,new,electronics,after,0
431,new,fashion,after,1
432,experienced,electronics,after,0
433,experienced,electronics,after,0
434,new,electronics,after,0
435,new,electronics,after,0
436,experienced,fashion,before,0
437,new,electronics,before,1
438,experienced,living,after,0
439,experienced,living,before,0
440,new,fashion,before,0
441,new,electronics,before,0
442,experienced,living,before,0
443,new,fashion,after,0
444,new,electronics,before,0
445,experienced,living,before,0
446,experienced,living,after,0
447,experienced,fashion,after,0
448,experienced,electronics,before,0
449,new,electronics,before,0
450,new,living,after,0
451,experienced,living,after,0
452,experienced,living,before,0
453,experienced,electronics,before,0
454,experienced,fashion,before,0
455,new,fashion,before,1
456,experienced,electronics,before,0
457,new,fashion,after,0
458,experienced,living,before,0
459,new,fashion,after,1
460,new,fashion,before,0
461,new,fashion,after,0
462,experienced,living,after,0
463,experienced,electronics,before,0
464,experienced,living,after,0
465,experienced,electronics,before,0
466,new,electronics,after,0
467,new,electronics,after,0
468,experienced,fashion,before,0
469,new,fashion,before,0
470,experienced,electronics,before,0
471,new,electronics,after,0
472,experienced,fashion,before,0
473,new,living,before,1
474,experienced,electronics,before,0
475,experienced,living,before,0
476,experienced,fashion,after,0
477,new,electronics,before,1
478,experienced,living,after,0
479,experienced,living,before,0
480,experienced,living,before,0
481,experienced,fashion,after,0
482,experienced,fashion,after,0
483,experienced,living,after,0
484,experienced,living,before,0
485,experienced,fashion,before,0
486,experienced,living,after,0
487,new,living,before,0
488,new,fashion,before,0
489,experienced,living,after,0
490,experienced,living,after,0
491,experienced,living,after,0
492,experienced,fashion,after,0
493,new,living,after,0
494,new,fashion,before,0
495,experienced,fashion,before,0
496,new,electronics,after,0
497,experienced,electronics,after,1
498,new,living,before,0
499,experienced,fashion,before,0
500,experienced,electronics,before,0
501,experienced,living,after,1
502,experienced,electronics,before,0
503,new,electronics,before,0
504,experienced,fashion,after,0
505,experienced,fashion,after,0
506,new,electronics,before,0
507,experienced,electronics,after,0
508,experienced,fashion,after,0
509,experienced,living,before,0
510,experienced,fashion,before,0
511,experienced,electronics,before,1
512,experienced,living,before,0
513,experienced,electronics,after,0
514,experienced,living,before,0
515,new,electronics,after,0
516,new,living,before,0
517,new,living,before,1
518,experienced,electronics,after,1
519,experienced,living,before,0
520,new,fashion,before,0
521,experienced,electronics,before,0
522,new,fashion,before,0
523,experienced,electronics,after,0
524,experienced,living,before,0
525,experienced,living,after,0
526,experienced,living,after,0
527,experienced,electronics,before,0
528,new,fashion,before,0
529,new,fashion,before,0
530,experienced,electronics,after,0
531,experienced,electronics,before,0
532,experienced,fashion,after,0
533,experienced,fashion,before,0
534,experienced,fashion,after,0
535,experienced,fashion,before,0
536,experienced,electronics,after,0
537,experienced,electronics,before,0
538,new,living,before,1
539,experienced,fashion,before,0
540,new,living,before,0
541,experienced,electronics,after,0
542,experienced,electronics,before,0
543,new,living,before,0
544,experienced,fashion,after,0
545,experienced,fashion,before,0
546,new,fashion,after,1
547,new,fashion,after,0
548,experienced,living,before,0
549,experienced,living,after,0
550,experienced,electronics,before,0
551,experienced,fashion,before,0
552,experienced,fashion,after,0
553,experienced,fashion,after,0
554,experienced,living,before,0
555,experienced,fashion,after,0
556,experienced,living,before,0
557,new,fashion,before,0
558,new,fashion,after,1
559,experienced,electronics,before,1
560,experienced,fashion,before,0
561,experienced,fashion,after,0
562,new,electronics,after,0
563,new,living,before,1
564,new,living,after,0
565,new,fashion,after,0
566,experienced,living,after,0
567,new,fashion,after,0
568,experienced,electronics,before,0
569,experienced,electronics,before,0
570,new,fashion,before,1
571,experienced,electronics,after,0
572,experienced,electronics,after,0
573,new,fashion,after,0
574,experienced,fashion,after,0
575,experienced,electronics,before,0
576,experienced,living,before,0
577,new,living,before,0
578,experienced,fashion,before,1
579,experienced,fashion,before,0
580,new,living,before,0
581,experienced,electronics,after,0
582,experienced,living,after,0
583,experienced,living,after,1
584,new,living,after,0
585,experienced,living,before,0
586,new,fashion,after,0
587,new,fashion,after,0
588,new,electronics,after,0
589,new,electronics,before,0
590,new,electronics,before,0
591,new,electronics,before,0
592,experienced,living,after,0
593,new,fashion,after,0
594,new,fashion,after,0
595,experienced,electronics,before,0
596,experienced,electronics,after,0
597,experienced,living,after,0
598,new,living,before,0
599,new,electronics,before,0
600,new,fashion,after,0
601,new,fashion,before,0
602,new,fashion,after,0
603,new,electronics,after,0
604,new,fashion,after,1
605,new,living,after,0
606,experienced,living,after,0
607,new,electronics,after,0
608,new,living,before,0
609,experienced,electronics,before,0
610,experienced,fashion,before,0
611,new,fashion,after,0
612,experienced,fashion,before,0
613,experienced,living,before,0
614,new,electronics,before,0
615,experienced,fashion,after,0
616,experienced,electronics,after,0
617,new,fashion,after,0
618,new,living,before,0
619,experienced,living,after,0
620,experienced,electronics,after,0
621,new,living,after,0
622,new,living,after,1
623,new,electronics,before,0
624,experienced,fashion,after,1
625,experienced,living,before,0
626,new,electronics,before,0
627,experienced,living,after,0
628,experienced,living,before,0
629,new,living,before,1
630,new,living,after,0
631,experienced,electronics,before,1
632,experienced,electronics,after,0
633,experienced,electronics,after,0
634,experienced,living,after,0
635,new,living,after,0
636,experienced,living,after,0
637,experienced,electronics,after,0
638,new,living,after,0
639,new,fashion,after,0
640,new,living,after,1
641,new,fashion,after,0
642,new,living,before,1
643,new,electronics,before,1
644,new,living,after,0
645,new,fashion,before,1
646,experienced,fashion,before,0
647,experienced,living,after,0
648,experienced,fashion,before,0
649,experienced,fashion,before,0
650,experienced,electronics,after,0
651,new,living,after,0
652,experienced,living,before,0
653,experienced,living,after,0
654,experienced,fashion,after,0
655,experienced,living,before,1
656,new,living,before,0
657,new,electronics,after,0
658,new,electronics,after,0
659,experienced,electronics,after,0
660,experienced,fashion,after,1
661,new,living,after,0
662,experienced,electronics,before,0
663,experienced,electronics,after,0
664,new,electronics,before,0
665,new,living,after,1
666,new,living,after,0
667,new,living,before,1
668,new,fashion,after,0
669,new,fashion,before,1
670,new,electronics,before,0
671,new,living,after,1
672,experienced,electronics,before,1
673,new,living,after,1
674,experienced,living,before,0
675,experienced,living,after,0
676,experienced,fashion,after,0
677,new,fashion,after,0
678,new,living,before,0
679,experienced,electronics,after,0
680,experienced,living,before,0
681,experienced,living,before,0
682,new,electronics,before,0
683,new,living,before,0
684,experienced,electronics,after,0
685,experienced,fashion,before,0
686,experienced,fashion,after,0
687,experienced,electronics,after,0
688,new,fashion,before,1
689,experienced,fashion,after,1
690,new,electronics,before,1
691,new,fashion,before,1
692,experienced,living,before,0
693,experienced,living,after,0
694,new,electronics,after,0
695,new,fashion,before,0
696,experienced,living,before,0
697,new,living,after,0
698,experienced,fashion,before,0
699,new,fashion,after,0
700,experienced,living,after,0
701,experienced,living,before,0
702,new,electronics,after,0
703,new,electronics,before,0
704,new,living,after,0
705,new,electronics,after,0
706,experienced,living,before,0
707,new,living,before,0
708,experienced,electronics,after,0
709,new,electronics,after,0
710,experienced,fashion,before,0
711,experienced,fashion,after,0
712,experienced,fashion,before,0
713,experienced,living,before,0
714,experienced,electronics,after,0
715,new,living,before,1
716,experienced,electronics,after,0
717,experienced,living,before,0
718,experienced,fashion,after,0
719,new,fashion,before,0
720,experienced,fashion,after,0
721,experienced,living,after,0
722,new,electronics,before,0
723,new,electronics,after,0
724,experienced,fashion,before,0
725,experienced,fashion,before,0
726,experienced,fashion,after,0
727,new,fashion,before,1
728,experienced,electronics,after,0
729,new,living,after,0
730,new,living,after,0
731,new,living,before,0
732,experienced,living,before,1
733,experienced,fashion,before,0
734,experienced,fashion,after,0
735,new,fashion,after,0
736,experienced,living,after,0
737,new,fashion,before,0
738,experienced,fashion,before,0
739,experienced,electronics,before,0
740,new,electronics,before,1
741,experienced,fashion,before,0
742,new,electronics,before,1
743,experienced,electronics,before,0
744,experienced,fashion,before,0
745,new,fashion,before,0
746,experienced,fashion,before,0
747,new,fashion,before,0
748,experienced,living,before,0
749,experienced,living,after,0
750,experienced,fashion,before,0
751,new,electronics,before,0
752,experienced,fashion,before,0
753,experienced,fashion,before,0
754,new,electronics,before,0
755,new,living,before,1
756,experienced,fashion,after,0
757,experienced,fashion,before,1
758,experienced,living,before,0
759,experienced,living,after,0
760,experienced,electronics,before,0
761,new,living,before,1
762,new,living,after,0
763,new,living,after,0
764,experienced,electronics,before,0
765,new,living,before,0
766,experienced,living,before,0
767,experienced,electronics,before,0
768,experienced,living,after,0
769,new,living,before,0
770,experienced,electronics,before,0
771,new,fashion,after,0
772,experienced,electronics,after,0
773,new,living,before,0
774,new,living,after,0
775,experienced,living,before,0
776,new,electronics,after,0
777,new,living,before,0
778,experienced,living,before,0
779,experienced,electronics,before,0
780,experienced,fashion,before,0
781,experienced,fashion,before,0
782,experienced,living,after,0
783,new,electronics,after,0
784,new,living,before,0
785,new,electronics,before,0
786,experienced,electronics,before,0
787,experienced,fashion,after,0
788,experienced,fashion,after,0
789,experienced,electronics,after,0
790,experienced,living,after,0
791,new,fashion,before,0
792,experienced,living,before,0
793,experienced,fashion,after,0
794,experienced,fashion,after,0
795,new,living,before,0
796,experienced,fashion,before,0
797,experienced,fashion,after,0
798,experienced,living,before,0
799,experienced,fashion,before,1
800,experienced,fashion,after,0
801,experienced,fashion,before,0
802,new,living,before,0
803,experienced,electronics,after,0
804,experienced,living,after,0
805,experienced,electronics,after,0
806,experienced,fashion,before,0
807,experienced,electronics,before,0
808,experienced,living,after,0
809,experienced,living,after,0
810,new,fashion,before,0
811,experienced,electronics,after,0
812,experienced,fashion,before,0
813,new,fashion,before,1
814,experienced,living,before,0
815,experienced,electronics,before,0
816,experienced,electronics,before,0
817,experienced,electronics,after,0
818,new,electronics,after,0
819,new,fashion,after,0
820,new,fashion,before,0
821,experienced,living,before,0
822,new,fashion,before,0
823,new,fashion,before,0
824,new,living,after,0
825,experienced,living,after,0
826,experienced,living,after,0
827,new,fashion,before,0
828,new,fashion,before,0
829,experienced,living,before,0
830,experienced,living,before,0
831,new,living,after,1
832,experienced,fashion,after,0
833,new,fashion,before,0
834,new,electronics,after,0
835,experienced,fashion,after,0
836,experienced,fashion,before,0
837,experienced,fashion,after,0
838,new,living,before,0
839,experienced,fashion,before,0
840,experienced,living,after,0
841,new,electronics,after,0
842,experienced,electronics,before,0
843,new,living,before,0
844,experienced,living,after,0
845,new,living,after,0
846,experienced,fashion,after,0
847,new,electronics,before,1
848,experienced,living,after,0
849,experienced,fashion,before,0
850,experienced,electronics,after,0
851,new,fashion,before,0
852,experienced,electronics,after,0
853,new,fashion,before,0
854,experienced,electronics,before,0
855,new,electronics,before,0
856,new,fashion,before,1
857,new,living,after,0
858,experienced,electronics,after,0
859,experienced,living,after,0
860,new,fashion,before,0
861,experienced,living,after,0
862,experienced,living,after,1
863,experienced,living,before,0
864,experienced,living,before,1
865,experienced,living,after,0
866,experienced,electronics,after,0
867,new,electronics,after,0
868,new,electronics,before,0
869,experienced,fashion,after,0
870,experienced,living,before,0
871,new,electronics,after,0
872,new,fashion,after,0
873,experienced,electronics,before,0
874,experienced,electronics,after,0
875,new,living,before,0
876,new,fashion,after,0
877,experienced,living,before,0
878,experienced,living,before,0
879,new,electronics,before,0
880,new,living,before,0
881,new,fashion,before,0
882,experienced,living,after,0
883,new,living,after,0
884,new,living,after,0
885,experienced,electronics,before,0
886,new,fashion,after,1
887,experienced,electronics,before,0
888,new,electronics,after,0
889,new,electronics,before,1
890,new,electronics,after,1
891,experienced,electronics,after,0
892,experienced,fashion,after,0
893,experienced,living,before,0
894,new,electronics,before,0
895,experienced,electronics,before,0
896,new,fashion,after,0
897,new,fashion,after,0
898,experienced,living,before,0
899,new,fashion,after,0
900,new,living,after,0
901,new,electronics,after,0
902,new,electronics,before,0
903,new,living,before,0
904,experienced,fashion,before,0
905,experienced,living,after,0
906,experienced,fashion,before,1
907,experienced,electronics,before,0
908,new,fashion,after,0
909,new,living,after,0
910,new,living,after,0
911,experienced,electronics,before,0
912,new,fashion,before,0
913,experienced,fashion,after,0
914,experienced,fashion,before,0
915,experienced,electronics,before,0
916,experienced,fashion,before,0
917,new,living,before,0
918,experienced,fashion,before,0
919,experienced,electronics,after,0
920,new,fashion,after,0
921,experienced,fashion,after,0
922,experienced,living,before,0
923,experienced,fashion,before,0
924,experienced,living,before,0
925,experienced,living,after,1
926,new,electronics,before,0
927,new,living,after,0
928,experienced,living,after,0
929,experienced,electronics,before,0
930,new,living,before,1
931,new,electronics,after,0
932,experienced,fashion,after,0
933,experienced,electronics,before,0
934,experienced,living,before,0
935,new,electronics,after,0
936,new,living,before,1
937,new,fashion,before,0
938,experienced,electronics,before,0
939,new,fashion,after,0
940,experienced,living,before,0
941,new,living,before,0
942,experienced,fashion,before,0
943,experienced,electronics,after,0
944,experienced,electronics,after,0
945,new,living,after,0
946,new,fashion,after,0
947,new,fashion,after,0
948,experienced,electronics,before,0
949,experienced,electronics,before,1
950,experienced,electronics,after,0
951,experienced,fashion,before,0
952,experienced,electronics,before,0
953,new,electronics,after,0
954,experienced,living,before,0
955,experienced,electronics,before,0
956,new,electronics,after,1
957,experienced,fashion,after,0
958,new,fashion,before,0
959,new,living,after,0
960,experienced,electronics,after,0
961,new,living,after,0
962,experienced,fashion,before,0
963,new,living,before,1
964,new,fashion,after,0
965,new,living,after,0
966,new,living,after,0
967,experienced,electronics,before,0
968,new,living,before,1
969,experienced,electronics,after,0
970,experienced,electronics,before,0
971,experienced,electronics,after,0
972,experienced,electronics,before,1
973,experienced,living,before,0
974,new,fashion,after,0
975,new,fashion,after,0
976,new,fashion,before,0
977,experienced,living,before,0
978,new,electronics,after,0
979,experienced,fashion,before,0
980,experienced,living,after,0
981,new,electronics,after,0
982,experienced,fashion,before,0
983,new,electronics,after,0
984,new,fashion,before,0
985,experienced,fashion,after,0
986,experienced,fashion,before,0
987,experienced,electronics,after,0
988,experienced,living,before,0
989,new,electronics,before,1
990,experienced,fashion,after,0
991,experienced,electronics,after,0
992,experienced,living,after,0
993,new,electronics,before,0
994,experienced,living,after,0
995,new,living,before,1
996,new,electronics,before,0
997,experienced,fashion,after,0
998,new,living,before,0
999,experienced,electronics,after,0
1000,experienced,living,after,0
1001,new,fashion,after,0
1002,experienced,electronics,after,0
1003,experienced,electronics,after,0
1004,experienced,electronics,before,1
1005,experienced,fashion,after,0
1006,experienced,living,before,0
1007,experienced,electronics,before,0
1008,experienced,living,after,0
1009,new,living,after,0
1010,experienced,fashion,after,0
1011,new,electronics,before,0
1012,experienced,living,after,0
1013,experienced,electronics,before,0
1014,new,electronics,after,0
1015,experienced,fashion,after,0
1016,experienced,electronics,after,0
1017,new,electronics,before,0
1018,experienced,living,before,0
1019,experienced,fashion,before,1
1020,new,electronics,after,0
1021,experienced,living,after,0
1022,new,fashion,before,1
1023,experienced,fashion,after,0
1024,experienced,living,after,0
1025,experienced,living,after,0
1026,experienced,living,after,0
1027,experienced,living,after,0
1028,experienced,living,before,0
1029,new,electronics,before,1
1030,experienced,electronics,before,0
1031,new,fashion,after,0
1032,experienced,electronics,after,0
1033,new,electronics,after,1
1034,new,electronics,before,0
1035,new,living,before,1
1036,experienced,fashion,before,0
1037,new,fashion,before,0
1038,experienced,fashion,after,0
1039,new,fashion,after,0
1040,new,electronics,after,0
1041,experienced,electronics,after,0
1042,experienced,living,before,0
1043,new,fashion,before,0
1044,experienced,electronics,before,0
1045,experienced,electronics,after,0
1046,experienced,living,after,0
1047,new,living,before,0
1048,new,living,before,1
1049,experienced,electronics,before,0
1050,new,electronics,before,0
1051,experienced,living,before,0
1052,experienced,fashion,before,0
1053,experienced,living,before,0
1054,experienced,living,after,0
1055,experienced,living,after,0
1056,new,living,before,0
1057,experienced,electronics,before,1
1058,experienced,fashion,before,1
1059,experienced,living,before,0
1060,experienced,fashion,before,0
1061,experienced,fashion,after,0
1062,experienced,fashion,after,1
1063,experienced,living,after,0
1064,experienced,electronics,before,0
1065,experienced,living,after,1
1066,experienced,fashion,before,0
1067,new,fashion,before,0
1068,new,electronics,after,0
1069,new,living,after,1
1070,new,fashion,after,0
1071,new,electronics,after,0
1072,new,fashion,after,0
1073,new,electronics,after,0
1074,new,electronics,after,0
1075,experienced,living,after,0
1076,experienced,fashion,after,1
1077,new,living,after,0
1078,experienced,fashion,after,0
1079,new,living,before,0
1080,experienced,fashion,after,0
1081,experienced,living,before,0
1082,new,electronics,before,0
1083,experienced,fashion,before,0
1084,experienced,fashion,after,0
1085,experienced,electronics,after,0
1086,experienced,living,before,0
1087,experienced,fashion,before,1
1088,new,fashion,before,0
1089,experienced,living,after,0
1090,new,electronics,before,1
1091,experienced,living,before,0
1092,experienced,living,before,0
1093,experienced,living,before,0
1094,experienced,fashion,before,0
1095,new,electronics,after,1
1096,new,electronics,before,1
1097,new,living,after,0
1098,new,fashion,before,0
1099,experienced,living,before,0
1100,new,fashion,before,0
1101,new,fashion,after,0
1102,experienced,fashion,after,0
1103,experienced,fashion,after,0
1104,experienced,electronics,after,0
1105,experienced,fashion,before,0
1106,new,fashion,after,0
1107,new,living,after,0
1108,experienced,living,before,0
1109,experienced,electronics,after,0
